.m4,382
,945
.pl,29
.log,55
.lt,1
.out,7
.status,4
.ac,4
.csv,2
.html,16
.am,550
.in,502
.ompi-rules,1
.txt,140
.xml,4
.iml,1
.guess,5
.sub,5
.sh,27
.diff,2
.m4sh,1
.supp,3
.conf,21
.zsh,1
.spec,2
.gnu,1
.pgi,1
.c,4044
.java,38
.gcda,950
.gcno,2258
.cc,9
.f,6
.f90,772
.info,2
.include,34
.gcov,7
.png,6
.css,1
.la,526
.lai,139
.so,139
.40,9
.2,5
.a,125
.h,1300
.lo,2966
.plo,4174
.o,3034
.0,7
.trs,42
.po,163
.tcl,1
.50,1
.41,1
.7,6
.7in,6
.subdirs,3
.options,2
.mk,25
.extra,3
.pm,5
.1,19
.mod,11
.3,440
.3in,658
.1in,14
.pc,10
.l,7
.ini,1
.test,1
.py,3
.nmake,1
.pmix-rules,1
.fh,1
